"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
0.005135794635862112,2.101848363876343,-0.563190221786499,0.005135794528123384,2.101848323445195,-0.5631902421430852,47.0,0.0,14.0,2.176,3466388379.0,3466388379.0,-15.0
0.002957879099994898,1.129824042320251,0.01972121931612492,0.002957879134839607,1.129824023669777,0.01972121927413037,100.0,1.0,15.0,1.13,3466388381.0,3466388381.0,1.0
0.005926231388002634,2.122169733047485,-0.4899433851242065,0.005926231246884525,2.122169726517066,-0.489943396360938,44.0,2.0,16.0,2.178,3466388384.0,3466388384.0,-13.0
0.003330399747937918,1.122454643249512,0.05882561579346657,0.003330399780691586,1.122454656312982,0.05882561481706887,4.0,3.0,17.0,1.124,3466388386.0,3466388386.0,3.0
0.006302741356194019,2.124231815338135,-0.412910670042038,0.006302741344379663,2.124231874668875,-0.412910665994843,50.0,4.0,17.0,2.164,3466388388.0,3466388388.0,-11.0
0.003517707344144583,1.119717359542847,0.09796305745840073,0.003517707263855648,1.119717315048929,0.09796305484836779,2.0,5.0,18.0,1.124,3466388391.0,3466388391.0,5.0
0.007081182673573494,2.135370492935181,-0.338211327791214,0.00708118253032137,2.13537045131067,-0.3382113134169791,56.0,6.0,19.0,2.162,3466388393.0,3466388393.0,-9.0
0.004102124832570553,1.175167441368103,0.1442933082580566,0.004102125032619553,1.175167483977241,0.1442933025916946,1.0,7.0,20.0,1.184,3466388395.0,3466388395.0,7.0
0.007806855253875256,2.129989624023438,-0.2615316212177277,0.007806855077664761,2.129989734597101,-0.2615316109474465,66.0,8.0,21.0,2.146,3466388398.0,3466388398.0,-7.0
0.00796412955969572,2.172899723052979,0.3441558182239532,0.007964129218228505,2.172899754263889,0.344155823088508,41.0,9.0,21.0,2.2,3466388400.0,3466388400.0,9.0
0.008093919605016708,2.107932329177856,-0.1844215542078018,0.008093919312255593,2.107932441933489,-0.1844215516540447,71.0,10.0,22.0,2.116,3466388402.0,3466388402.0,-5.0
0.008740014396607876,2.177231550216675,0.4232143461704254,0.00874001454740462,2.177231550529852,0.4232143517451764,39.0,11.0,23.0,2.218,3466388405.0,3466388405.0,11.0
0.00459297513589263,1.096485614776611,-0.05746487900614738,0.004592975044113121,1.096485609642019,-0.05746487995475233,100.0,12.0,24.0,1.098,3466388407.0,3466388407.0,-3.0
0.009489298798143864,2.174773216247559,0.5020907521247864,0.009489298785418987,2.174773282129361,0.5020907532955068,38.0,13.0,25.0,2.232,3466388409.0,3466388409.0,13.0
0.004999938420951366,1.101820826530457,-0.01923255249857903,0.00499993857939168,1.101820815542097,-0.01923255189388643,100.0,14.0,26.0,1.102,3466388411.0,3466388411.0,-1.0
0.01025065686553717,2.175240755081177,0.5828604698181152,0.01025065669188422,2.175240808217468,0.5828604895708768,40.0,15.0,27.0,2.252,3466388414.0,3466388414.0,15.0
0.01249551028013229,2.105681180953979,-0.5642254948616028,0.01249551060632212,2.105681226275067,-0.5642255183234952,47.0,0.0,34.0,2.18,3466388434.0,3466388434.0,-15.0
0.006816175300627947,1.115809202194214,0.0194768849760294,0.006816175365336719,1.115809208906853,0.0194768855840084,100.0,1.0,35.0,1.116,3466388437.0,3466388437.0,1.0
0.01333395019173622,2.122136116027832,-0.4899433851242065,0.01333394990146751,2.122136111125376,-0.489943396360938,45.0,2.0,36.0,2.178,3466388439.0,3466388439.0,-13.0
0.007102771662175655,1.130426287651062,0.0592443011701107,0.007102771508958267,1.130426319253975,0.05924430246701242,4.0,3.0,36.0,1.132,3466388441.0,3466388441.0,3.0
0.01371765602380037,2.124197006225586,-0.412910670042038,0.01371765594549881,2.124196932448368,-0.412910665994843,50.0,4.0,37.0,2.164,3466388444.0,3466388444.0,-11.0
0.007584795821458101,1.143606305122375,0.1000547930598259,0.007584795823273703,1.143606361181687,0.1000547926743116,2.0,5.0,38.0,1.148,3466388446.0,3466388446.0,5.0
0.01442740671336651,2.119529962539673,-0.335708349943161,0.01442740640746195,2.119530076607435,-0.3357083619763354,53.0,6.0,39.0,2.146,3466388448.0,3466388448.0,-9.0
0.008121049031615257,1.163235783576965,0.1428308635950089,0.008121049405631959,1.163235741798323,0.1428308704708328,3.0,7.0,40.0,1.172,3466388451.0,3466388451.0,7.0
0.01527026854455471,2.133919477462769,-0.2620190978050232,0.01527026899990596,2.133919589918998,-0.2620190883210671,66.0,8.0,41.0,2.15,3466388453.0,3466388453.0,-7.0
0.01594263128936291,2.174831390380859,0.3444686830043793,0.01594263158710712,2.174831292932185,0.3444686920185884,38.0,9.0,42.0,2.202,3466388455.0,3466388455.0,9.0
0.01545192766934633,2.107891321182251,-0.1844215542078018,0.01545192736296047,2.107891346636796,-0.1844215516540447,67.0,10.0,42.0,2.116,3466388458.0,3466388458.0,-5.0
0.01631044968962669,2.173261404037476,0.4224511086940765,0.01631044985262638,2.173261379589587,0.4224511157636702,40.0,11.0,43.0,2.214,3466388460.0,3466388460.0,11.0
0.008389720693230629,1.092468500137329,-0.05725553631782532,0.008389720711552093,1.092468496648244,-0.05725553612978055,100.0,12.0,44.0,1.094,3466388462.0,3466388462.0,-3.0
0.01715714298188686,2.184470415115356,0.5043402910232544,0.01715714246759657,2.184470308961239,0.5043402638389454,38.0,13.0,45.0,2.242,3466388464.0,3466388464.0,13.0
0.008910197764635086,1.109795212745667,-0.01937217079102993,0.008910198151484838,1.109795173603677,-0.0193721711453847,100.0,14.0,46.0,1.11,3466388467.0,3466388467.0,-1.0
0.01787529513239861,2.179055452346802,0.583895742893219,0.01787529543326168,2.179055347748398,0.5838957657512869,40.0,15.0,47.0,2.256,3466388469.0,3466388469.0,15.0
0.02058063447475433,2.105617761611938,-0.5642254948616028,0.02058063411245792,2.105617724557835,-0.5642255183234952,42.0,0.0,56.0,2.18,3466388490.0,3466388490.0,-15.0
0.01112040784209967,1.117774367332458,0.01951179094612598,0.01112040777973799,1.117774407725602,0.01951179039688297,100.0,1.0,57.0,1.118,3466388492.0,3466388492.0,1.0
0.02140334248542786,2.114274740219116,-0.4881438016891479,0.02140334296021338,2.114274707605235,-0.4881437879261871,45.0,2.0,58.0,2.17,3466388494.0,3466388494.0,-13.0
0.01152410451322794,1.138379335403442,0.05966299027204514,0.01152410486369486,1.138379340385882,0.05966299011695597,4.0,3.0,58.0,1.14,3466388497.0,3466388497.0,3.0
0.02199516259133816,2.135907411575317,-0.4152003824710846,0.02199516232660586,2.135907503220783,-0.4152003739393615,53.0,4.0,59.0,2.176,3466388499.0,3466388499.0,-11.0
0.01197586208581924,1.143568754196167,0.1000547930598259,0.0119758623169579,1.143568807367823,0.1000547926743116,2.0,5.0,60.0,1.148,3466388501.0,3466388501.0,5.0
0.0226918738335371,2.131310701370239,-0.3375855684280396,0.02269187411263556,2.131310643248709,-0.3375855755568182,56.0,6.0,61.0,2.158,3466388504.0,3466388504.0,-9.0
0.01237268000841141,1.143346190452576,0.1403934806585312,0.01237267970471169,1.143346223398151,0.1403934836027299,3.0,7.0,62.0,1.152,3466388506.0,3466388506.0,7.0
0.02337649278342724,2.125905275344849,-0.2610441446304321,0.02337649215719277,2.12590533654279,-0.2610441335738259,68.0,8.0,63.0,2.142,3466388508.0,3466388508.0,-7.0
0.02395712025463581,2.178708791732788,0.3450944423675537,0.02395711959811072,2.17870876688171,0.3450944298787493,37.0,9.0,63.0,2.206,3466388511.0,3466388511.0,9.0
0.02365678921341896,2.117777824401855,-0.1852931082248688,0.02365678900913941,2.117777802334485,-0.1852931090815212,36.0,10.0,64.0,2.126,3466388513.0,3466388513.0,-5.0
0.02467730641365051,2.175145864486694,0.422832727432251,0.02467730569552532,2.17514585944239,0.4228327337544233,39.0,11.0,65.0,2.216,3466388515.0,3466388515.0,11.0
