"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
0.009540548548102379,1.518405437469482,-0.4068635404109955,0.009540548213855606,1.51840542631163,-0.4068635389011626,100.0,0.0,36.0,1.572,18303018579026.0,618579026.0,-15.0
0.01008534990251064,1.561729550361633,0.02726065926253796,0.01008534948964689,1.561729535548477,0.02726065885503685,99.0,1.0,37.0,1.562,18303018579028.0,618579028.0,1.0
0.01017153356224298,1.533624768257141,-0.3540729582309723,0.01017153367321189,1.533624751765331,-0.3540729595372435,81.0,2.0,38.0,1.574,18303018579031.0,618579031.0,-13.0
0.01042478065937757,1.571808338165283,0.08237679302692413,0.0104247803857346,1.57180831769609,0.08237679512639359,100.0,3.0,38.0,1.574,18303018579033.0,618579033.0,3.0
0.01054367981851101,1.548971772193909,-0.3010965883731842,0.01054367950641931,1.548971811066944,-0.3010965947041877,70.0,4.0,39.0,1.578,18303018579035.0,618579035.0,-11.0
0.0109605984762311,1.569964528083801,0.1373574435710907,0.01096059852384845,1.56996458433075,0.1373574505703093,92.0,5.0,40.0,1.576,18303018579038.0,618579038.0,5.0
0.01116694882512093,1.560507655143738,-0.2471664547920227,0.01116694897936988,1.56050762346427,-0.2471664547635648,68.0,6.0,41.0,1.58,18303018579040.0,618579040.0,-9.0
0.01155377645045519,1.576120972633362,0.1935285180807114,0.01155377688085768,1.576120941812796,0.1935285173273742,68.0,7.0,42.0,1.588,18303018579042.0,618579042.0,7.0
0.0116947814822197,1.558253526687622,-0.1913348734378815,0.0116947814055602,1.55825357369612,-0.1913348691460816,82.0,8.0,43.0,1.57,18303018579044.0,618579044.0,-7.0
0.01188956666737795,1.584207534790039,0.2509208917617798,0.01188956696621609,1.5842074830058,0.2509208819245303,100.0,9.0,43.0,1.604,18303018579047.0,618579047.0,9.0
0.01201073732227087,1.563979506492615,-0.136834517121315,0.01201073690387016,1.563979557858389,-0.1368345161138233,100.0,10.0,44.0,1.57,18303018579049.0,618579049.0,-5.0
0.01238162163645029,1.576444625854492,0.3064392507076263,0.01238162178919128,1.576444633851941,0.306439246574731,49.0,11.0,45.0,1.606,18303018579051.0,618579051.0,11.0
0.01265149749815464,1.575786590576172,-0.0825861394405365,0.01265149764164941,1.575786619203415,-0.08258613895136536,88.0,12.0,46.0,1.578,18303018579054.0,618579054.0,-3.0
0.01296418253332376,1.580375075340271,0.3648706078529358,0.01296418254562682,1.580375071880974,0.3648706101457491,59.0,13.0,47.0,1.622,18303018579056.0,618579056.0,13.0
0.01308363489806652,1.561707258224487,-0.02726065926253796,0.01308363452741693,1.561707294913596,-0.02726065885503685,100.0,14.0,48.0,1.562,18303018579058.0,618579058.0,-1.0
0.01331947557628155,1.589858174324036,0.4260161519050598,0.01331947582262574,1.589858117255635,0.4260161482387492,67.0,15.0,48.0,1.646,18303018579061.0,618579061.0,15.0
0.01484071370214224,1.518362879753113,-0.4068635404109955,0.0148407141398091,1.518362872938035,-0.4068635389011626,100.0,0.0,56.0,1.572,18303018579081.0,618579081.0,-15.0
0.01553674135357141,1.561684846878052,0.02726065926253796,0.01553674145970549,1.561684816518238,0.02726065885503685,95.0,1.0,57.0,1.562,18303018579084.0,618579084.0,1.0
0.01544591505080462,1.525785326957703,-0.3522733449935913,0.01544591478142588,1.525785341986082,-0.3522733511024926,85.0,2.0,58.0,1.566,18303018579086.0,618579086.0,-13.0
0.01618567667901516,1.571759581565857,0.08237679302692413,0.01618567584038236,1.571759551433455,0.08237679512639359,100.0,3.0,59.0,1.574,18303018579088.0,618579088.0,3.0
0.01603140123188496,1.556778192520142,-0.302623063325882,0.01603140048253534,1.55677817100559,-0.3026230666672001,70.0,4.0,59.0,1.586,18303018579091.0,618579091.0,-11.0
0.0165241863578558,1.577885866165161,0.1380546987056732,0.01652418633280602,1.577885880549331,0.1380546965122905,94.0,5.0,60.0,1.584,18303018579093.0,618579093.0,5.0
0.01661406829953194,1.560459136962891,-0.2471664547920227,0.01661406909080825,1.560459136391548,-0.2471664547635648,66.0,6.0,61.0,1.58,18303018579095.0,618579095.0,-9.0
0.01696947403252125,1.56813108921051,0.1925535649061203,0.01696947390055943,1.568131105007881,0.192553562580133,71.0,7.0,62.0,1.58,18303018579097.0,618579097.0,7.0
0.01713402941823006,1.558203220367432,-0.1913348734378815,0.0171340301992496,1.558203257876835,-0.1913348691460816,85.0,8.0,63.0,1.57,18303018579100.0,618579100.0,-7.0
0.0177400279790163,1.588103771209717,0.2515466213226318,0.01774002721578355,1.588103771643805,0.2515466197846912,100.0,9.0,64.0,1.608,18303018579102.0,618579102.0,9.0
0.01753673516213894,1.569904923439026,-0.1373574435710907,0.01753673540846835,1.569904899566862,-0.1373574505703093,100.0,10.0,64.0,1.576,18303018579104.0,618579104.0,-5.0
0.01795118115842342,1.582281231880188,0.3075841069221497,0.01795118085793629,1.582281193782099,0.3075841005469903,52.0,11.0,65.0,1.612,18303018579107.0,618579107.0,11.0
0.01805991679430008,1.567744374275208,-0.08216745406389236,0.01805991730050105,1.567744350758033,-0.0821674513014218,90.0,12.0,66.0,1.57,18303018579109.0,618579109.0,-3.0
0.01841227896511555,1.574474334716797,0.3635208904743195,0.01841227962030311,1.574474369573955,0.3635209038196859,58.0,13.0,67.0,1.616,18303018579111.0,618579111.0,13.0
0.01855866238474846,1.56365168094635,-0.0272955633699894,0.01855866290209482,1.563651664609269,-0.02729556366791141,100.0,14.0,68.0,1.564,18303018579114.0,618579114.0,-1.0
0.0191465076059103,1.58979856967926,0.4260161519050598,0.01914650765668931,1.589798620166835,0.4260161482387492,67.0,15.0,69.0,1.646,18303018579116.0,618579116.0,15.0
0.02045761607587337,1.522161602973938,-0.4078988134860992,0.02045761546790613,1.52216163485499,-0.4078988150815727,100.0,0.0,77.0,1.576,18303018579137.0,618579137.0,-15.0
0.02134216390550137,1.567615866661072,0.02736537344753742,0.02134216453755831,1.567615912255726,0.02736537329366055,100.0,1.0,78.0,1.568,18303018579139.0,618579139.0,1.0
0.0209843572229147,1.52182137966156,-0.351373553276062,0.02098435672254016,1.521821371686675,-0.3513735468851171,82.0,2.0,79.0,1.562,18303018579141.0,618579141.0,-13.0
0.02156189270317554,1.563705205917358,0.08195810765028,0.02156189178470626,1.56370520029881,0.08195810747645003,100.0,3.0,79.0,1.566,18303018579144.0,618579144.0,3.0
0.02173716947436333,1.556708931922913,-0.302623063325882,0.02173717003711019,1.556708956407625,-0.3026230666672001,73.0,4.0,80.0,1.586,18303018579146.0,618579146.0,-11.0
0.02219465374946594,1.569845914840698,0.1373574435710907,0.02219465298719753,1.569845956822389,0.1373574505703093,99.0,5.0,81.0,1.576,18303018579148.0,618579148.0,5.0
0.02238986641168594,1.564338088035583,-0.2477921992540359,0.02238986621047609,1.56433811024529,-0.2477921926237257,66.0,6.0,82.0,1.584,18303018579150.0,618579150.0,-9.0
0.02277435921132565,1.572028160095215,0.1930410414934158,0.02277435874444466,1.572028143983864,0.1930410399537536,71.0,7.0,83.0,1.584,18303018579153.0,618579153.0,7.0
0.02278681099414825,1.554160237312317,-0.1908473968505859,0.0227868116908864,1.554160234424563,-0.190847391772461,82.0,8.0,84.0,1.566,18303018579155.0,618579155.0,-7.0
0.02356059849262238,1.588028073310852,0.2515466213226318,0.02356059935975448,1.588028084207803,0.2515466197846912,100.0,9.0,85.0,1.608,18303018579157.0,618579157.0,9.0
0.02337927743792534,1.575806617736816,-0.1378803849220276,0.02337927653982384,1.575806589925724,-0.1378803850267952,100.0,10.0,85.0,1.582,18303018579160.0,618579160.0,-5.0
0.02375041134655476,1.582204818725586,0.3075841069221497,0.02375041076893538,1.58220477153844,0.3075841005469903,52.0,11.0,86.0,1.612,18303018579162.0,618579162.0,11.0
0.02380586601793766,1.567667603492737,-0.08216745406389236,0.02380586628797046,1.567667627616552,-0.0821674513014218,88.0,12.0,87.0,1.57,18303018579164.0,618579164.0,-3.0
0.02412303350865841,1.570499300956726,0.3626210987567902,0.02412303434705547,1.570499289187073,0.3626210996023104,56.0,13.0,88.0,1.612,18303018579167.0,618579167.0,13.0
0.02438279055058956,1.569571495056152,-0.02740027755498886,0.02438279073472735,1.569571503396921,-0.02740027810653511,100.0,14.0,89.0,1.57,18303018579169.0,618579169.0,-1.0
0.02475583739578724,1.59358537197113,0.4270514249801636,0.02475583796566268,1.593585337968502,0.4270514244191593,71.0,15.0,89.0,1.65,18303018579171.0,618579171.0,15.0
0.02583623491227627,1.525944113731384,-0.408934086561203,0.02583623468709901,1.525944100542654,-0.4089340912619828,100.0,0.0,97.0,1.58,18303018579192.0,618579192.0,-15.0
0.02691663987934589,1.573530077934265,0.02747008763253689,0.02691663994302463,1.573530072408582,0.02747008773228425,99.0,1.0,98.0,1.574,18303018579194.0,618579194.0,1.0
0.02636371739208698,1.525635719299316,-0.3522733449935913,0.02636371707695813,1.525635749622073,-0.3522733511024926,82.0,2.0,99.0,1.566,18303018579196.0,618579196.0,-13.0
0.02708912640810013,1.567614316940308,0.08216745406389236,0.02708912707697112,1.567614330484649,0.0821674513014218,100.0,3.0,99.0,1.57,18303018579199.0,618579199.0,3.0
0.02696538530290127,1.544845819473267,-0.3003333508968353,0.02696538484970241,1.544845863398113,-0.3003333587226815,73.0,4.0,100.0,1.574,18303018579201.0,618579201.0,-11.0
0.02774454280734062,1.573743104934692,0.137706071138382,0.02774454212780062,1.573743078679604,0.1377060735412999,94.0,5.0,101.0,1.58,18303018579203.0,618579203.0,5.0
0.02795578166842461,1.570175647735596,-0.248730793595314,0.02795578236050678,1.570175615546077,-0.2487307994139671,65.0,6.0,102.0,1.59,18303018579206.0,618579206.0,-9.0
0.02840435691177845,1.579878211021423,0.1940159946680069,0.02840435772679016,1.579878155511466,0.1940159947009948,68.0,7.0,103.0,1.592,18303018579208.0,618579208.0,7.0
0.02813964337110519,1.550101637840271,-0.1903599202632904,0.02813964393974919,1.550101694544268,-0.1903599143988404,80.0,8.0,104.0,1.562,18303018579210.0,618579210.0,-7.0
0.02874172106385231,1.568185687065125,0.248417928814888,0.02874172187843278,1.568185717712531,0.2484179304838866,100.0,9.0,105.0,1.588,18303018579213.0,618579213.0,9.0
0.02887972630560398,1.57571542263031,-0.1378803849220276,0.02887972560851365,1.575715380667981,-0.1378803850267952,100.0,10.0,105.0,1.582,18303018579215.0,618579215.0,-5.0
0.0294184684753418,1.589963912963867,0.3091105818748474,0.02941846778236017,1.589963901387663,0.3091105725100026,58.0,11.0,106.0,1.62,18303018579217.0,618579217.0,11.0
0.02920330874621868,1.563581109046936,-0.08195810765028,0.02920330909531849,1.563581157265833,-0.08195810747645003,86.0,12.0,107.0,1.566,18303018579220.0,618579220.0,-3.0
0.02967841364443302,1.574302315711975,0.3635208904743195,0.02967841436939023,1.574302303945033,0.3635209038196859,61.0,13.0,108.0,1.616,18303018579222.0,618579222.0,13.0
0.02974734827876091,1.563478827476501,-0.0272955633699894,0.02974734891168241,1.563478828586041,-0.02729556366791141,100.0,14.0,109.0,1.564,18303018579224.0,618579224.0,-1.0
0.03039183653891087,1.597352266311646,0.4280866980552673,0.03039183706124295,1.597352219458757,0.4280867005995693,64.0,15.0,109.0,1.654,18303018579226.0,618579226.0,15.0
0.03100483119487762,1.518118858337402,-0.4068635404109955,0.03100483081945512,1.518118823142207,-0.4068635389011626,100.0,0.0,117.0,1.572,18303018579247.0,618579247.0,-15.0
0.03240912035107613,1.573426485061646,0.02747008763253689,0.03240912093179309,1.573426529317594,0.02747008773228425,99.0,1.0,118.0,1.574,18303018579249.0,618579249.0,1.0
0.03193184733390808,1.537224292755127,-0.3549727499485016,0.03193184678087998,1.537224347372097,-0.354972763754619,82.0,2.0,119.0,1.578,18303018579252.0,618579252.0,-13.0
0.03283453732728958,1.567504525184631,0.08216745406389236,0.03283453886886016,1.567504514508299,0.0821674513014218,100.0,3.0,120.0,1.57,18303018579254.0,618579254.0,3.0
0.03243996948003769,1.548668026924133,-0.3010965883731842,0.03243996956130196,1.548667972495203,-0.3010965947041877,71.0,4.0,120.0,1.578,18303018579256.0,618579256.0,-11.0
0.03306946903467178,1.565668821334839,0.1370088309049606,0.03306946913953262,1.565668863895137,0.1370088275993186,92.0,5.0,121.0,1.572,18303018579259.0,618579259.0,5.0
0.03335243090987206,1.566118597984314,-0.248105064034462,0.03335243067753912,1.566118607832524,-0.2481050615538062,65.0,6.0,122.0,1.586,18303018579261.0,618579261.0,-9.0
0.03383376449346542,1.575800061225891,0.1935285180807114,0.03383376500769977,1.575800110840989,0.1935285173273742,68.0,7.0,123.0,1.588,18303018579263.0,618579263.0,7.0
0.0337221696972847,1.557932496070862,-0.1913348734378815,0.03372216989002572,1.557932534838001,-0.1913348691460816,82.0,8.0,124.0,1.57,18303018579266.0,618579266.0,-7.0
0.034027349203825,1.572031617164612,0.2490436732769012,0.03402735094312107,1.572031612482883,0.2490436683440476,100.0,9.0,124.0,1.592,18303018579268.0,618579268.0,9.0
0.0341625027358532,1.565645337104797,-0.1370088309049606,0.03416250405875171,1.565645395508286,-0.1370088275993186,100.0,10.0,125.0,1.572,18303018579270.0,618579270.0,-5.0
0.03501147031784058,1.591814279556274,0.3094922006130219,0.03501146903615956,1.591814304827977,0.3094921905007557,55.0,11.0,126.0,1.622,18303018579273.0,618579273.0,11.0
0.03483811765909195,1.571456789970398,-0.08237679302692413,0.03483811589156816,1.571456766604105,-0.08237679512639359,86.0,12.0,127.0,1.574,18303018579275.0,618579275.0,-3.0
0.03517357259988785,1.574189066886902,0.3635208904743195,0.03517357412358937,1.574189115757536,0.3635209038196859,58.0,13.0,128.0,1.616,18303018579277.0,618579277.0,13.0
0.03502465039491653,1.555368661880493,-0.02715594507753849,0.03502465193504364,1.555368711412082,-0.02715594441641314,100.0,14.0,129.0,1.556,18303018579279.0,618579279.0,-1.0
0.03607090562582016,1.589504718780518,0.4260161519050598,0.03607090722980417,1.589504681053642,0.4260161482387492,67.0,15.0,130.0,1.646,18303018579282.0,618579282.0,15.0
0.03630386665463448,1.518001317977905,-0.4068635404109955,0.03630386554589475,1.518001347186243,-0.4068635389011626,100.0,0.0,137.0,1.572,18303018579302.0,618579302.0,-15.0
0.03756409510970116,1.559309959411621,0.02722575329244137,0.03756409336722685,1.559310006767844,0.02722575404216228,100.0,1.0,138.0,1.56,18303018579305.0,618579305.0,1.0
0.0372975654900074,1.537103533744812,-0.3549727499485016,0.03729756658481279,1.537103519129164,-0.354972763754619,78.0,2.0,139.0,1.578,18303018579307.0,618579307.0,-13.0
0.0381292887032032,1.571380376815796,0.08237679302692413,0.0381292884324827,1.571380355289049,0.08237679512639359,100.0,3.0,139.0,1.574,18303018579309.0,618579309.0,3.0
0.03794156387448311,1.552470684051514,-0.3018598258495331,0.0379415651367101,1.552470637485096,-0.3018598306856939,71.0,4.0,140.0,1.582,18303018579312.0,618579312.0,-11.0
0.03863252326846123,1.569527506828308,0.1373574435710907,0.03863252399589737,1.569527463557912,0.1373574505703093,94.0,5.0,141.0,1.576,18303018579314.0,618579314.0,5.0
0.03877004981040955,1.56401789188385,-0.2477921992540359,0.03877004953521026,1.564017874748804,-0.2477921926237257,66.0,6.0,142.0,1.584,18303018579316.0,618579316.0,-9.0
0.03953228518366814,1.58361029624939,0.1945034712553024,0.03953228458279325,1.583610304912981,0.1945034720746154,71.0,7.0,143.0,1.596,18303018579319.0,618579319.0,7.0
0.03925993666052818,1.561774253845215,-0.191822350025177,0.03925993496867272,1.561774261819528,-0.1918223465197021,80.0,8.0,144.0,1.574,18303018579321.0,618579321.0,-7.0
0.04008882120251656,1.583744764328003,0.2509208917617798,0.04008882265917008,1.583744801826361,0.2509208819245303,100.0,9.0,145.0,1.604,18303018579323.0,618579323.0,9.0
0.03967783600091934,1.567508339881897,-0.1371831446886063,0.03967783480730799,1.567508359076863,-0.137183139084814,100.0,10.0,145.0,1.574,18303018579326.0,618579326.0,-5.0
